Feature,Macro var,Coef,SE,t-stat,p-value,R²,Sig
beta_Mkt_RF,term_spread,0.0,0.0,,,,
beta_Mkt_RF,credit_spread,0.0,0.0,,,,
beta_Mkt_RF,vix,0.0,0.0,,,,
beta_Mkt_RF,inflation,0.0,0.0,,,,
beta_SMB,term_spread,-0.0141,0.0041,-3.488,0.004,0.612,***
beta_SMB,credit_spread,-0.0071,0.0037,-1.905,0.079,0.155,*
beta_SMB,vix,-0.005,0.0057,-0.882,0.394,0.077,
beta_SMB,inflation,0.006,0.0036,1.644,0.124,0.11,
beta_HML,term_spread,0.0,0.0,,,,
beta_HML,credit_spread,0.0,0.0,,,,
beta_HML,vix,0.0,0.0,,,,
beta_HML,inflation,0.0,0.0,,,,
beta_RMW,term_spread,-0.0011,0.0017,-0.678,0.51,0.046,
beta_RMW,credit_spread,-0.0032,0.0012,-2.687,0.019,0.379,**
beta_RMW,vix,-0.0034,0.0014,-2.436,0.03,0.418,**
beta_RMW,inflation,0.0016,0.0015,1.057,0.31,0.094,
beta_CMA,term_spread,-0.0088,0.0025,-3.493,0.004,0.277,***
beta_CMA,credit_spread,-0.0069,0.0034,-2.004,0.066,0.168,*
beta_CMA,vix,-0.0025,0.0037,-0.684,0.506,0.023,
beta_CMA,inflation,0.0078,0.0012,6.609,0.0,0.215,***
beta_Mom,term_spread,-0.0046,0.0048,-0.967,0.351,0.047,
beta_Mom,credit_spread,-0.0038,0.0053,-0.721,0.484,0.032,
beta_Mom,vix,-0.0058,0.0037,-1.553,0.144,0.073,
beta_Mom,inflation,-0.0045,0.0062,-0.72,0.484,0.044,
mom_12_1,term_spread,0.0,0.0,,,,
mom_12_1,credit_spread,0.0,0.0,,,,
mom_12_1,vix,0.0,0.0,,,,
mom_12_1,inflation,0.0,0.0,,,,
rev_1,term_spread,-0.0012,0.0021,-0.593,0.564,0.018,
rev_1,credit_spread,-0.0065,0.0018,-3.59,0.003,0.479,***
rev_1,vix,-0.0022,0.0023,-0.971,0.349,0.058,
rev_1,inflation,0.0055,0.0017,3.262,0.006,0.347,***
rvol_12,term_spread,-0.0103,0.0136,-0.76,0.461,0.062,
rvol_12,credit_spread,-0.0296,0.0075,-3.94,0.002,0.506,***
rvol_12,vix,-0.0256,0.0123,-2.088,0.057,0.379,*
rvol_12,inflation,0.0149,0.0125,1.191,0.255,0.129,
macro_term_spread,term_spread,0.034,0.02,1.702,0.112,0.295,
macro_term_spread,credit_spread,0.042,0.0097,4.339,0.001,0.45,***
macro_term_spread,vix,0.0341,0.021,1.626,0.128,0.296,
macro_term_spread,inflation,-0.0215,0.0181,-1.188,0.256,0.118,
macro_credit_spread,term_spread,0.0063,0.004,1.548,0.146,0.112,
macro_credit_spread,credit_spread,0.0151,0.0027,5.594,0.0,0.649,***
macro_credit_spread,vix,0.0104,0.0049,2.118,0.054,0.311,*
macro_credit_spread,inflation,-0.0098,0.0056,-1.76,0.102,0.275,
macro_vix,term_spread,0.0,0.0,,,,
macro_vix,credit_spread,0.0,0.0,,,,
macro_vix,vix,0.0,0.0,,,,
macro_vix,inflation,0.0,0.0,,,,
macro_inflation,term_spread,0.0,0.0,,,,
macro_inflation,credit_spread,0.0,0.0,,,,
macro_inflation,vix,0.0,0.0,,,,
macro_inflation,inflation,0.0,0.0,,,,
